event-id,visible,timestamp,location-long,location-lat,bar:barometric-pressure,external-temperature,gps:dop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,location-error-numerical,manually-marked-outlier,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
20432407667,true,2018-05-10 01:00:21.000,6.5790887,53.0088273,,28.1,1.6,7,7.9,0.0718607385030772,14.4471213093098,8.0,false,5.7,false,5.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407670,true,2018-05-10 01:30:13.000,6.579273,53.0088069,,26.3,5.0,5,8.1,2.10818537317269,352.67681899509705,9.0,false,11.1,false,7.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407673,true,2018-05-10 02:00:36.000,6.5818761,53.0094043,,24.5,2.5,6,26.4,0.074344383792248,239.122792188917,3.0,false,3.0,false,3.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407676,true,2018-05-10 02:30:47.000,6.5811203,53.0092131,,24.0,2.0,6,10.5,0.363335965650395,279.4579970762498,9.0,false,5.6,false,5.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407679,true,2018-05-10 03:00:37.000,6.5811307,53.0091932,,23.8,2.6,5,8.7,0.112053315537102,228.606596358515,6.0,false,6.6,false,5.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407682,true,2018-05-10 03:30:28.000,6.5841161,53.0075289,,23.8,3.8,4,7.9,1.50203965805177,4.57172184860394,-3.0,false,22.7,false,27.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407685,true,2018-05-10 04:00:36.000,6.5803475,53.008263,,23.4,4.0,4,8.0,1.25454862768596,333.343395496777,7.0,false,15.1,false,7.8,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407688,true,2018-05-10 04:31:00.000,6.5797685,53.0082054,,26.9,2.7,6,40.1,0.220062175178171,41.2807399559745,4.0,false,4.8,false,5.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407691,true,2018-05-10 05:00:52.000,6.5805904,53.0077966,,27.4,2.7,6,8.4,0.310374114535781,326.1029373642688,7.0,false,5.8,false,4.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407694,true,2018-05-10 05:30:43.000,6.5805743,53.0077889,,26.1,3.0,5,7.6,0.633610850638905,312.7329589807229,5.0,false,5.3,false,7.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407697,true,2018-05-10 06:01:03.000,6.5805322,53.0083322,,23.8,3.2,5,19.7,0.0897950386177188,270.3504840498575,11.0,false,4.7,false,7.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407700,true,2018-05-10 06:31:00.000,6.580672,53.0083589,,23.2,2.8,5,9.1,0.343664724051489,303.8470280730053,8.0,false,9.8,false,6.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407703,true,2018-05-10 07:00:53.000,6.5809411,53.0083337,,24.2,2.2,5,10.3,0.452705177344601,304.7074199800293,10.0,false,7.0,false,6.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407706,true,2018-05-10 07:31:30.000,6.5807687,53.0080781,,26.3,1.6,6,39.3,0.12325099140553,259.33311524369,9.0,false,7.6,false,6.8,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407709,true,2018-05-10 08:01:36.000,6.5806264,53.0081076,,27.4,2.8,6,21.6,0.251606760619763,182.873239435353,1.0,false,6.2,false,8.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407712,true,2018-05-10 08:31:44.000,6.5804739,53.0083526,,24.5,8.6,5,21.8,0.0435333620683115,259.430070810402,-17.0,false,4.4,false,11.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407715,true,2018-05-10 09:01:54.000,6.5807277,53.0083611,,27.5,3.6,5,7.8,0.897351987446099,288.1241028449044,7.0,false,8.3,false,14.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407718,true,2018-05-10 09:32:06.000,6.5804733,53.0089608,,29.8,5.0,6,28.2,0.385419497681454,310.5019912276769,2.0,false,6.9,false,9.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407721,true,2018-05-10 10:02:06.000,6.5805045,53.0074309,,31.7,7.1,4,20.3,1.29838486988913,312.8065924279775,9.0,false,7.9,false,8.6,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407724,true,2018-05-10 10:32:12.000,6.5806114,53.0077746,,36.2,4.0,4,18.7,0.325530435842834,267.2660988137916,5.0,false,9.6,false,16.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407727,true,2018-05-10 11:02:54.000,6.580571,53.0078159,,35.5,3.8,4,36.7,0.0337038144590276,230.440547104955,12.0,false,5.6,false,7.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407730,true,2018-05-10 11:32:56.000,6.5804839,53.0084196,,29.0,3.4,4,15.1,0.436463744578289,254.173410724889,13.0,false,9.7,false,12.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
